time,open,high,low,close,volume
2019-11-15 00:00:00.000,8646.38,8659.41,8610.87,8611.98,1248.453018
2019-11-15 01:00:00.000,8611.99,8627,8526.11,8559.96,2567.333631
2019-11-15 02:00:00.000,8557.95,8590.06,8526.11,8538.61,2428.512671
2019-11-15 03:00:00.000,8538.16,8579.99,8517,8558.15,1777.637624
2019-11-15 04:00:00.000,8558.13,8571.08,8531.61,8557.45,1010.078664
2019-11-15 05:00:00.000,8557.54,8574.04,8550,8564.64,943.085255
2019-11-15 06:00:00.000,8564.63,8610.97,8558.59,8588.01,1875.961831
2019-11-15 07:00:00.000,8588.01,8592,8562.94,8574.77,977.896217
2019-11-15 08:00:00.000,8574.76,8660,8569.98,8654.39,2332.361913
2019-11-15 09:00:00.000,8654.4,8790,8590,8623.7,5156.018196
2019-11-15 10:00:00.000,8621.62,8664.92,8590,8655.79,2685.695883
2019-11-15 11:00:00.000,8656.09,8669.33,8626.62,8630.54,1337.988112
2019-11-15 12:00:00.000,8630.5,8674.27,8626.62,8664.5,1302.582625
2019-11-15 13:00:00.000,8664.42,8689,8638.08,8645.47,1743.71354
2019-11-15 14:00:00.000,8645.4,8647.24,8400,8463.73,7316.921045
2019-11-15 15:00:00.000,8463.84,8491.77,8415.6,8479.88,3385.854451
2019-11-15 16:00:00.000,8479.45,8483.99,8430.83,8476.07,1888.755194
2019-11-15 17:00:00.000,8476.64,8484.99,8455.82,8479.21,1062.803218
2019-11-15 18:00:00.000,8479.18,8497.64,8460.17,8497.32,958.584041
2019-11-15 19:00:00.000,8496.81,8498.53,8467,8485.57,952.244083
2019-11-15 20:00:00.000,8486.08,8492.82,8469.34,8481,568.545982
2019-11-15 21:00:00.000,8480.99,8483.13,8454,8462.21,698.00658
2019-11-15 22:00:00.000,8464.19,8523.67,8462.57,8521.01,819.914554
2019-11-15 23:00:00.000,8521.77,8532.74,8451.94,8471.73,1048.326126
2019-11-16 00:00:00.000,8471.62,8480.5,8400,8467.96,1737.692148
2019-11-16 01:00:00.000,8467.81,8490,8461.13,8483.64,987.265944
2019-11-16 02:00:00.000,8483.64,8484.74,8435.18,8458.05,717.175797
2019-11-16 03:00:00.000,8458.2,8468.29,8441.64,8451.13,547.303756
2019-11-16 04:00:00.000,8452.26,8477.66,8449.55,8470,670.237888
2019-11-16 05:00:00.000,8469.98,8475.39,8453.83,8467.72,665.808404
2019-11-16 06:00:00.000,8467.6,8478.36,8461.04,8462.81,607.931287
2019-11-16 07:00:00.000,8462.81,8508.53,8461.9,8474.82,1040.892448
2019-11-16 08:00:00.000,8475.34,8502,8474.51,8480.88,827.421943
2019-11-16 09:00:00.000,8480.77,8543,8479.23,8499.27,1614.188808
2019-11-16 10:00:00.000,8499.21,8532.61,8455.71,8472.83,1820.470972
2019-11-16 11:00:00.000,8472.89,8480.59,8452.23,8479.03,1129.643461
2019-11-16 12:00:00.000,8478.79,8489.99,8458.12,8474.72,1010.374946
2019-11-16 13:00:00.000,8474.72,8505.34,8470,8488.98,1039.758044
2019-11-16 14:00:00.000,8488.98,8526.24,8455.86,8485.41,1907.650047
2019-11-16 15:00:00.000,8485.24,8502.64,8477.96,8489.4,783.094778
2019-11-16 16:00:00.000,8489.47,8502.95,8481.69,8494.74,681.01029
2019-11-16 17:00:00.000,8494.78,8496.05,8472.38,8477.62,542.996095
2019-11-16 18:00:00.000,8477.59,8484,8470.78,8483.57,439.156232
